"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Constant 2018 Prices","..Snapper (Maya-maya)",.,.,149,143,136,106,90,127,176,153,182,176,172,209,210,215,203,165,120,121,103,127,82
"Constant 2018 Prices","..Mudcrab (Alimango)",.,.,40,43,49,53,47,96,102,103,108,107,106,92,86,71,73,96,143,136,153,177,119
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,198,209,210,229,206,199,147,110,95,80,62,78,90,114,127,130,136,121,116,139,110
"Constant 2018 Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,65,89,91,122,114,226,234,32,49,37,44,32,27,36,45,90,109,172,149,95,77
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,731,830,851,644,566,534,517,322,274,227,197,193,191,116,175,204,107,69,44,37,43
"Constant 2018 Prices","..Seaweed",.,.,183,131,140,119,153,161,168,178,168,160,167,156,128,116,81,77,72,66,71,54,26
"Constant 2018 Prices","..Tilapia",.,.,75,92,96,83,91,104,105,102,99,103,105,89,90,81,75,87,79,74,63,87,108
"Constant 2018 Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,57,43,34,129,123,147,117,121,145,95,107,50,217
"Constant 2018 Prices","..Other Fisheries",.,.,2566,2654,2287,2368,2562,2815,2988,2532,3269,3274,3163,2808,2828,2915,2628,2415,2443,2181,2005,1884,1624
"Constant 2018 Prices","AGRICULTURE",36198,37397,36156,37836,38645,39730,39800,43004,41790,38670,37383,34406,34963,36426,37168,35608,36108,36506,37710,36070,37358,34803,33853
