"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",8999,9141,10274,10971,12886,12701,14537,16553,19112,18303,18885,23139,21927,22286,25352,25471,24110,27378,28567,23576,25445,27986,27881
"Current Prices","..Palay",1717,1955,1969,1867,2454,2466,2785,3170,4665,4543,4398,5156,5590,5914,6645,6307,4323,6025,6577,4318,4884,5043,4487
"Current Prices","..Corn",1082,1114,1292,1501,1729,1795,1787,2034,2412,2847,2390,2677,2617,2584,2695,2286,2105,2059,2153,1444,1673,1495,1629
"Current Prices","..Mango",881,916,1140,1271,1438,1499,1376,2007,2007,2076,2266,2147,1937,2227,2557,3110,3236,4035,4237,3955,4139,4759,4088
"Current Prices","..Sugarcane",1575,1863,2036,2220,2189,2121,3498,3816,3709,2453,2761,4619,3562,3483,4031,3862,4013,4414,4420,3874,4067,4784,6567
"Current Prices","..Coconut",818,310,690,701,1236,926,1026,1276,1774,1587,2080,3308,2914,2483,2954,2714,2719,3590,3475,2264,2215,2902,2347
"Current Prices","..Banana",680,699,775,831,815,821,955,1029,1186,1346,1381,1494,1676,1913,2239,2761,3166,2822,3008,2968,3779,3825,3160
"Current Prices","..Sweet Potato",413,408,485,509,505,482,505,535,557,555,556,475,423,391,435,468,567,540,631,593,574,732,828
"Current Prices","..Cassava",90,88,81,111,157,169,187,211,237,311,349,408,479,416,437,480,664,441,340,285,298,345,311
"Current Prices","..Eggplant",59,69,66,69,85,80,92,88,147,151,145,151,141,179,200,222,234,281,290,298,299,359,367
"Current Prices","..Cabbage",78,52,55,61,86,84,75,83,97,113,135,159,135,142,178,242,248,235,226,215,182,261,244
"Current Prices","..Ampalaya",36,41,36,70,93,97,92,96,120,120,120,107,92,123,134,154,157,157,178,172,156,178,183
"Current Prices","..Tomato",66,73,49,72,61,67,58,56,58,62,59,64,60,103,113,125,121,133,140,142,165,174,182
"Current Prices","..Carrots",82,97,76,85,128,100,112,107,120,115,153,142,126,139,134,140,141,136,133,126,118,133,151
"Current Prices","..Squash",53,58,48,122,139,139,158,142,144,160,154,145,133,133,139,123,97,98,122,110,110,147,133
"Current Prices","..Ubi",179,164,123,195,243,312,405,482,166,197,245,202,212,111,143,156,133,146,139,153,186,134,128
"Current Prices","..Pechay, Chinese",6,8,6,7,9,34,30,32,38,34,49,43,47,57,70,87,96,82,88,95,71,74,67
"Current Prices","..Papaya",57,54,48,50,62,63,49,46,40,49,51,58,52,50,64,60,44,57,74,89,75,91,73
"Current Prices","..Stringbeans",10,9,11,43,29,29,31,39,44,56,53,50,54,64,70,73,72,84,86,86,79,110,114
"Current Prices","..Mongo",25,26,27,23,22,25,25,24,29,27,35,35,31,31,33,33,30,31,26,28,25,34,23
"Current Prices","..Cacao",2,2,3,5,4,4,4,4,4,3,4,5,4,4,5,6,8,10,12,12,14,12,7
"Current Prices","..Okra",19,8,14,16,15,18,21,19,31,34,32,21,23,28,33,38,35,42,48,45,44,51,54
"Current Prices","..Coffee",23,14,14,17,17,15,10,11,12,9,7,10,10,10,10,10,9,11,10,10,7,6,4
"Current Prices","..Other Crops",1047,1113,1229,1125,1371,1355,1257,1245,1514,1457,1463,1663,1607,1701,2032,2014,1892,1949,2151,2294,2285,2339,2734
"Current Prices","LIVESTOCK",7408,8483,8652,8668,11154,12003,12043,12236,12785,13963,15691,16303,17047,17697,19019,19820,20466,24288,27472,26453,24902,33228,42694
"Current Prices","..Hog",5749,6604,6753,6805,9106,9652,9933,10202,10636,11712,13202,13631,14219,14859,16101,16823,17303,20734,23440,22231,21281,28949,36848
"Current Prices","..Cattle",1093,1221,1204,1189,1367,1548,1371,1310,1361,1419,1525,1633,1729,1693,1739,1756,1845,2010,2231,2222,1894,2007,3060
"Current Prices","..Carabao",152,164,184,167,197,232,231,238,277,298,337,350,347,371,380,403,447,519,612,647,409,652,1006
"Current Prices","..Goat",413,494,512,507,484,571,507,487,510,534,627,689,751,774,799,837,871,1025,1190,1354,1318,1621,1780
"Current Prices","POULTRY",4618,5767,6656,7083,9071,9529,8574,7937,8379,9430,10119,13307,14326,11238,11951,12549,13527,15055,16715,16147,15958,18784,22362
"Current Prices","..Chicken",3377,4390,5149,5393,6899,7246,6036,5045,5570,6244,6621,9628,10297,7531,8690,8745,9189,9766,11207,10944,9977,11156,13590
"Current Prices","..Duck",56,65,63,65,52,49,31,21,17,16,19,18,20,21,22,23,25,30,37,41,50,60,32
"Current Prices","..Chicken Eggs",1137,1267,1399,1571,2068,2188,2476,2852,2772,3141,3451,3633,3982,3658,3211,3753,4282,5228,5439,5127,5898,7534,8713
"Current Prices","..Duck Eggs",48,45,45,53,52,46,31,19,20,28,29,29,28,29,28,29,31,31,33,34,33,34,26
"Current Prices","FISHERIES",4307,4874,6146,5631,6268,6623,6740,6833,7650,8364,8240,7686,8241,8077,7234,7410,8152,8381,10030,11440,13380,14772,9288
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,207,305,333,270,342,374,362,492,463,419,509,469,461,498,562,602,932,1005,1209,1398,684
"Current Prices","..Roundscad (Galunggong)",.,.,840,900,987,1240,1175,1066,1309,1320,1136,1015,1126,1091,751,841,834,666,716,642,503,710,449
"Current Prices","..Frigate tuna (Tulingan)",.,.,527,463,522,933,775,842,738,837,720,607,678,571,453,403,392,337,401,516,609,597,223
"Current Prices","..Indian mackerel (Alumahan)",.,.,211,271,304,317,222,288,315,253,268,257,257,341,313,274,365,348,291,358,376,330,220
"Current Prices","..Flying fish (Bolador)",.,.,84,125,139,154,143,89,135,115,128,148,139,137,142,106,116,128,168,158,180,156,212
"Current Prices","..Anchovies (Dilis)",.,.,135,148,190,115,94,69,88,85,113,137,112,94,124,126,126,125,150,196,227,162,290
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,215,141,147,81,66,146,133,183,260,215,241,172,183,168,151,93,137,163,281,245,115
"Current Prices","..Eastern little tuna (Bonito)",.,.,23,68,76,164,78,99,155,164,149,113,105,94,81,66,86,104,117,161,242,254,186
"Current Prices","..Milkfish (Bangus)",.,.,384,395,441,445,430,505,545,598,566,539,572,570,482,492,515,470,568,529,667,902,377
"Current Prices","..Siganid (Samaral)",.,.,56,64,67,127,222,277,325,292,293,287,339,320,313,322,338,387,531,578,603,563,498
"Current Prices","..Seaweed",.,.,268,71,121,203,190,180,263,278,428,400,429,328,397,379,256,238,355,435,240,243,148
"Current Prices","..Blue crab (Alimasag)",.,.,6,18,21,42,102,113,183,150,182,189,159,130,131,111,105,154,161,176,176,313,224
"Current Prices","..Tiger prawn (Sugpo)",.,.,579,543,564,554,515,529,593,584,435,349,325,188,83,79,63,120,154,130,55,107,87
"Current Prices","..Grouper (Lapu-lapu)",.,.,13,22,27,18,30,36,42,50,47,44,45,49,58,94,151,207,150,257,318,428,107
"Current Prices","..Indo-pacific mackerel (Hasa-hasa)",.,.,74,142,159,99,87,61,65,73,63,63,82,110,85,83,63,84,124,108,193,245,72
"Current Prices","..Squid (Pusit)",.,.,333,306,385,314,259,253,321,340,425,395,407,368,307,290,330,282,437,471,518,612,334
"Current Prices","..Threadfin bream (Bisugo)",.,.,87,79,81,23,32,24,30,135,104,88,80,108,125,126,133,165,210,200,306,281,239
"Current Prices","..Parrot fish (Loro)",.,.,46,63,81,86,72,95,89,143,136,136,144,143,162,165,184,203,237,244,326,291,105
"Current Prices","..Bali sardinella (Tamban)",.,.,137,95,102,118,100,78,135,135,124,136,97,111,96,102,115,105,114,138,241,127,90
"Current Prices","..P. vannamei",.,.,0,0,0,0,0,0,0,..,205,194,164,475,328,403,556,888,831,1219,1210,1332,1296
"Current Prices","..Other Fisheries",.,.,1921,1412,1522,1318,1804,1707,1824,2137,1996,1952,2231,2208,2160,2282,2713,2675,3245,3757,4900,5476,3332
"Current Prices","AGRICULTURE",25333,28265,31729,32352,39380,40856,41892,43559,47925,50060,52935,60435,61541,59298,63556,65250,66255,75102,82783,77616,79684,94771,102225
"Constant 2018 Prices","CROPS",23896,24180,25138,25893,27190,25942,27280,29206,30036,29127,27926,30482,29517,29962,30263,29751,25892,29744,28567,25609,26767,27967,23246
"Constant 2018 Prices","..Palay",4573,4786,4648,4108,4865,4438,5210,5351,6627,5883,5748,6862,6952,7390,7201,7145,4930,6912,6577,4741,5537,6153,5152
"Constant 2018 Prices","..Corn",2320,2598,2816,3240,3104,3180,3053,3364,2956,3146,3010,2991,2904,2922,2770,2531,2644,2471,2153,1781,2152,1810,1639
"Constant 2018 Prices","..Mango",2401,2480,2956,3206,3361,3733,3123,4201,3792,3762,4092,3745,3898,4124,4324,4971,3834,3931,4237,4618,4273,4458,3488
"Constant 2018 Prices","..Sugarcane",3739,3795,3577,4109,4421,3762,4602,5237,5255,3682,2709,4553,3718,3716,4111,3517,3438,5038,4420,3766,4288,4719,4086
"Constant 2018 Prices","..Coconut",2377,2483,2579,2657,2803,2764,2942,3096,3074,3391,3353,3420,3520,3582,3497,3372,3151,3380,3475,3297,3032,3213,2342
"Constant 2018 Prices","..Banana",2638,2400,2363,2426,2386,2113,2362,2273,2454,2713,2637,2887,2929,2759,2807,2876,2805,2975,3008,2832,2997,3112,2400
"Constant 2018 Prices","..Sweet Potato",1204,1121,1173,1111,1159,1017,1101,986,978,967,840,797,670,675,699,648,650,663,631,620,673,668,658
"Constant 2018 Prices","..Cassava",490,430,388,403,382,345,357,410,429,545,609,658,563,466,465,586,606,507,340,262,249,238,218
"Constant 2018 Prices","..Eggplant",183,187,188,189,189,183,188,172,217,257,268,231,240,278,303,299,292,313,290,264,259,261,261
"Constant 2018 Prices","..Cabbage",169,173,185,181,175,159,163,174,182,190,217,221,228,237,242,237,241,232,226,228,225,223,244
"Constant 2018 Prices","..Ampalaya",102,102,102,166,202,201,175,173,180,181,191,148,129,171,189,182,171,177,178,174,153,150,151
"Constant 2018 Prices","..Tomato",177,147,126,117,120,112,103,90,88,95,100,101,104,132,158,151,127,133,140,129,122,117,113
"Constant 2018 Prices","..Carrots",205,192,201,188,193,178,186,171,179,182,208,192,192,180,168,155,148,128,133,127,112,123,122
"Constant 2018 Prices","..Squash",151,156,160,343,371,371,371,284,274,270,299,208,205,201,188,147,125,124,122,114,117,116,110
"Constant 2018 Prices","..Ubi",458,421,462,506,532,547,560,540,402,361,351,250,193,152,163,131,133,137,139,135,136,135,115
"Constant 2018 Prices","..Pechay, Chinese",19,21,20,17,17,59,58,59,67,70,74,80,82,87,90,85,86,86,88,86,85,84,82
"Constant 2018 Prices","..Papaya",106,104,104,101,105,99,90,88,89,92,82,80,81,77,79,81,72,75,74,70,68,71,54
"Constant 2018 Prices","..Stringbeans",21,21,24,98,69,70,72,70,78,84,85,76,84,90,87,86,85,90,86,85,83,86,88
"Constant 2018 Prices","..Mongo",54,53,53,49,44,44,39,35,40,37,36,31,30,31,30,29,26,28,26,25,22,26,21
"Constant 2018 Prices","..Cacao",10,9,9,10,9,9,9,9,8,7,6,6,6,7,7,7,9,11,12,13,12,12,6
"Constant 2018 Prices","..Okra",41,43,44,44,47,44,46,44,62,68,70,45,47,51,53,50,48,51,48,45,48,46,46
"Constant 2018 Prices","..Coffee",45,43,43,40,39,32,20,17,16,14,12,13,13,13,12,11,10,11,10,10,7,6,3
"Constant 2018 Prices","..Other Crops",2412,2413,2914,2584,2598,2481,2451,2360,2589,3130,2927,2887,2728,2622,2621,2452,2260,2272,2151,2185,2117,2141,1850
"Constant 2018 Prices","LIVESTOCK",18810,19359,19691,20016,20190,21078,19584,19905,20053,20880,21601,22267,22633,22663,22703,23522,25033,27179,27472,27140,26340,28479,31186
"Constant 2018 Prices","..Hog",14014,14680,15097,15559,15737,16594,15804,16362,16434,17189,17879,18421,18772,18843,18896,19711,21106,23166,23440,23234,23247,25162,27619
"Constant 2018 Prices","..Cattle",3010,2962,2833,2751,2778,2750,2338,2121,2134,2175,2176,2264,2268,2192,2187,2150,2215,2254,2231,2096,1511,1519,1847
"Constant 2018 Prices","..Carabao",427,406,429,378,392,395,380,389,437,454,480,489,477,504,498,509,552,589,612,578,355,467,516
"Constant 2018 Prices","..Goat",1359,1312,1331,1328,1283,1339,1062,1031,1047,1061,1066,1093,1115,1124,1123,1151,1160,1169,1190,1233,1227,1332,1204
"Constant 2018 Prices","POULTRY",9149,9770,10349,10658,11569,11833,10351,10531,10578,11207,11788,12456,12915,12689,12525,13910,14605,15339,16715,17237,16410,16987,18909
"Constant 2018 Prices","..Chicken",6537,7071,7408,7390,7904,8152,6662,6643,6955,7279,7643,8203,8510,8600,8978,9504,9711,10207,11207,11549,10583,9673,10365
"Constant 2018 Prices","..Duck",151,141,144,133,129,101,62,40,29,26,27,27,28,28,30,30,31,33,37,36,41,41,27
"Constant 2018 Prices","..Chicken Eggs",2345,2448,2688,3025,3414,3494,3570,3816,3564,3864,4081,4189,4343,4027,3485,4345,4830,5066,5439,5619,5756,7243,8496
"Constant 2018 Prices","..Duck Eggs",116,109,108,110,123,86,57,32,29,38,37,38,34,34,32,32,33,32,33,33,30,30,21
"Constant 2018 Prices","FISHERIES",11889,12344,13043,12772,12849,13810,12024,13294,12915,12735,12652,11641,11453,11629,9923,9943,10534,9938,10030,10446,12081,12100,7492
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,508,693,674,576,618,666,580,688,684,594,672,648,612,622,694,705,932,939,1062,1147,495
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,1993,2247,2292,2911,2207,2654,2504,2006,1817,1565,1612,1675,1082,1104,1146,781,716,594,497,557,342
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,1316,1163,1107,2040,1554,1822,1285,1233,1035,844,815,727,575,476,431,409,401,429,491,470,148
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,721,624,626,733,413,519,495,423,475,450,405,506,442,385,494,424,291,299,329,270,153
"Constant 2018 Prices","..Flying fish (Bolador)",.,.,158,332,282,286,237,149,170,139,180,199,177,167,167,127,146,130,168,142,166,128,141
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,284,336,332,204,150,120,103,123,161,166,142,126,166,166,172,146,150,202,198,117,259
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,499,376,360,193,135,237,206,305,328,260,251,206,175,151,169,103,137,157,274,225,104
"Constant 2018 Prices","..Eastern little tuna (Bonito)",.,.,55,135,132,364,167,291,310,265,212,164,149,133,117,92,109,114,117,150,195,174,114
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,822,847,867,833,753,835,822,840,805,718,738,711,591,605,652,555,568,537,719,875,331
"Constant 2018 Prices","..Siganid (Samaral)",.,.,125,139,139,205,306,403,450,414,440,429,469,429,400,366,382,434,531,510,539,470,374
"Constant 2018 Prices","..Seaweed",.,.,465,426,471,606,529,612,627,685,735,778,769,701,592,545,501,364,355,368,278,240,75
"Constant 2018 Prices","..Blue crab (Alimasag)",.,.,22,55,60,97,196,220,264,271,242,241,201,166,143,123,139,170,161,176,189,299,214
"Constant 2018 Prices","..Tiger prawn (Sugpo)",.,.,555,569,603,592,608,624,747,617,466,365,375,205,87,81,70,133,154,99,59,88,69
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,42,69,72,53,94,101,95,106,103,91,90,99,108,147,191,231,150,289,361,409,123
"Constant 2018 Prices","..Indo-pacific mackerel (Hasa-hasa)",.,.,173,282,279,198,142,93,87,85,79,73,100,134,100,97,77,98,124,100,146,136,40
"Constant 2018 Prices","..Squid (Pusit)",.,.,769,739,794,600,424,472,550,575,701,668,596,532,404,363,430,359,437,428,484,624,274
