"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",28033,29289,33910,35380,38518,41874,48902,49612,60752,60191,59010,75175,77383,74716,84162,81998,80232,86544,95686,83454,89984,96070,116575
"Current Prices","..Palay",13462,12716,15472,15696,17403,18638,19475,22196,28545,30342,25772,29904,34429,32491,38284,34355,31563,37736,44785,34998,37083,37734,41348
"Current Prices","..Corn",501,484,585,910,1225,1565,2382,3112,3828,3227,2962,3774,4386,4553,5102,4595,3586,3304,4656,4242,4193,5079,6299
"Current Prices","..Sugarcane",8714,10448,11465,12500,12343,13334,18380,15173,17626,15088,17993,28216,25219,23606,25707,26707,28178,26881,26581,23528,26208,28943,41333
"Current Prices","..Banana",1002,1036,1149,1184,1291,1582,1735,2024,2415,3176,3394,3358,3421,3686,4131,4361,4548,4374,4445,4792,5426,5191,5731
"Current Prices","..Coconut",950,957,1142,1171,1565,1523,1549,1694,2361,2460,2621,3144,3004,2851,2819,3331,3133,3620,3731,3271,3987,4696,5204
"Current Prices","..Mango",1059,876,1243,1319,1524,1688,1684,1761,1726,1520,1698,1788,1758,1853,1812,2078,2300,3071,3033,3704,3718,4900,5519
"Current Prices","..Watermelon",38,37,149,127,246,306,370,367,378,405,474,422,451,725,750,1019,1123,1207,1347,1191,1141,842,933
"Current Prices","..Sweet Potato",142,146,172,161,189,266,330,381,392,427,460,445,484,530,560,669,686,704,770,880,935,931,1122
"Current Prices","..Eggplant",133,154,133,136,164,145,212,192,319,235,194,318,278,309,325,333,405,460,667,758,736,776,739
"Current Prices","..Cassava",132,133,148,145,160,173,178,220,266,321,334,340,364,417,425,479,494,473,509,586,567,653,635
"Current Prices","..Coffee",139,143,130,147,166,177,185,197,212,191,182,258,233,210,195,214,198,215,230,211,199,201,211
"Current Prices","..Stringbeans",23,26,26,126,117,126,135,132,156,151,153,155,168,183,179,201,224,255,307,314,301,310,357
"Current Prices","..Pineapple",81,71,50,64,76,77,78,88,99,133,142,173,215,202,233,216,193,222,298,271,262,255,292
"Current Prices","..Tomato",154,137,76,83,111,110,132,111,140,116,113,142,134,147,155,156,219,219,258,277,348,358,420
"Current Prices","..Squash",49,60,54,115,98,101,108,111,124,139,127,161,154,165,164,166,163,207,219,231,214,292,292
"Current Prices","..Abaca",9,10,9,18,18,31,49,44,76,63,50,68,77,59,64,90,157,196,193,187,170,253,236
"Current Prices","..Mongo",45,55,52,42,59,86,109,156,156,152,145,146,136,126,142,155,154,146,172,192,199,198,189
"Current Prices","..Ampalaya",13,15,15,22,31,34,44,48,66,63,62,82,79,79,79,90,92,117,130,136,150,164,165
"Current Prices","..Calamansi",102,95,68,78,85,97,96,109,112,128,137,133,122,118,133,120,114,99,103,103,83,117,134
"Current Prices","..Peanut",20,20,19,20,27,31,34,55,63,60,63,66,75,79,80,89,85,82,87,90,92,106,125
