"Geolocation","Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"PHILIPPINES","Purchasing Power of Peso",0.90,0.89,0.89,0.88,0.88,0.87,0.86,0.86,0.86,0.85,0.84,0.84,0.87
"..National Capital Region (NCR)","Purchasing Power of Peso",0.92,0.92,0.91,0.91,0.90,0.89,0.89,0.88,0.88,0.87,0.86,0.86,0.89
"..Areas Outside National Capital Region (NCR)","Purchasing Power of Peso",0.89,0.89,0.88,0.88,0.87,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.86
"..Cordillera Administrative Region (CAR)","Purchasing Power of Peso",0.90,0.89,0.89,0.88,0.88,0.87,0.87,0.86,0.86,0.85,0.84,0.84,0.87
"....Abra","Purchasing Power of Peso",0.91,0.90,0.90,0.90,0.89,0.88,0.88,0.85,0.85,0.85,0.84,0.84,0.87
"....Benguet","Purchasing Power of Peso",0.88,0.88,0.88,0.87,0.87,0.87,0.86,0.86,0.85,0.84,0.83,0.83,0.86
"....Ifugao","Purchasing Power of Peso",0.88,0.88,0.88,0.87,0.87,0.86,0.86,0.85,0.84,0.85,0.84,0.84,0.86
"....Kalinga","Purchasing Power of Peso",0.89,0.88,0.88,0.87,0.86,0.84,0.84,0.84,0.83,0.83,0.81,0.81,0.85
"....Mountain Province","Purchasing Power of Peso",0.87,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.81,0.80,0.80,0.79,0.83
"....Apayao","Purchasing Power of Peso",0.91,0.91,0.91,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.83,0.83,0.87
"....City of Baguio","Purchasing Power of Peso",0.91,0.91,0.90,0.89,0.89,0.89,0.88,0.88,0.88,0.87,0.86,0.86,0.88
"..Region I (Ilocos Region)","Purchasing Power of Peso",0.90,0.90,0.88,0.88,0.88,0.87,0.87,0.86,0.85,0.85,0.84,0.84,0.87
"....Ilocos Norte","Purchasing Power of Peso",0.90,0.89,0.88,0.87,0.87,0.86,0.85,0.85,0.83,0.83,0.83,0.83,0.86
"....Ilocos Sur","Purchasing Power of Peso",0.87,0.86,0.85,0.85,0.85,0.84,0.83,0.83,0.82,0.82,0.80,0.80,0.83
