"Geolocation","Description","2020 Jan","2020 Feb","2020 Mar","2020 Apr","2020 May","2020 Jun","2020 Jul","2020 Aug","2020 Sep","2020 Oct","2020 Nov","2020 Dec","2020 Ave"
"PHILIPPINES","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.95
"..National Capital Region (NCR)","Purchasing Power of Peso",0.96,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.95,0.94,0.96
"..Areas Outside National Capital Region (NCR)","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.95
"..Cordillera Administrative Region (CAR)","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.96
"....Abra","Purchasing Power of Peso",0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.96,0.95,0.93,0.93,0.95
"....Benguet","Purchasing Power of Peso",0.97,0.97,0.98,0.97,0.98,0.98,0.97,0.97,0.98,0.98,0.97,0.96,0.97
"....Ifugao","Purchasing Power of Peso",0.95,0.95,0.95,0.96,0.95,0.96,0.95,0.94,0.94,0.94,0.93,0.92,0.95
"....Kalinga","Purchasing Power of Peso",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.94,0.94,0.95
"....Mountain Province","Purchasing Power of Peso",0.94,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.92,0.90,0.94
"....Apayao","Purchasing Power of Peso",0.95,0.95,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.95,0.93,0.95
"....City of Baguio","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.96,0.96,0.95,0.96
"..Region I (Ilocos Region)","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.93,0.95
"....Ilocos Norte","Purchasing Power of Peso",0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.95
"....Ilocos Sur","Purchasing Power of Peso",0.96,0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.95,0.93,0.93,0.95
"....La Union","Purchasing Power of Peso",0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.95,0.97
"....Pangasinan","Purchasing Power of Peso",0.96,0.96,0.96,0.97,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.95
"..Region II (Cagayan Valley)","Purchasing Power of Peso",0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.96,0.95,0.95,0.93,0.91,0.95
"....Batanes","Purchasing Power of Peso",0.96,0.96,0.96,0.97,0.97,0.97,0.96,0.94,0.92,0.93,0.92,0.91,0.95
"....Cagayan","Purchasing Power of Peso",0.96,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.95,0.95,0.93,0.92,0.96
"....Isabela","Purchasing Power of Peso",0.95,0.95,0.96,0.97,0.97,0.96,0.96,0.96,0.96,0.95,0.93,0.91,0.95
"....Nueva Vizcaya","Purchasing Power of Peso",0.95,0.95,0.96,0.96,0.95,0.95,0.94,0.95,0.94,0.94,0.93,0.92,0.94
"....Quirino","Purchasing Power of Peso",0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.94,0.91,0.96
"..Region III (Central Luzon)","Purchasing Power of Peso",0.95,0.95,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.93,0.92,0.95
"....Bataan","Purchasing Power of Peso",0.96,0.96,0.97,0.97,0.97,0.97,0.95,0.95,0.94,0.94,0.93,0.91,0.95
"....Bulacan","Purchasing Power of Peso",0.96,0.96,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.95,0.94,0.96
"....Nueva Ecija","Purchasing Power of Peso",0.95,0.95,0.94,0.95,0.95,0.94,0.93,0.94,0.94,0.94,0.92,0.91,0.94
"....Pampanga","Purchasing Power of Peso",0.94,0.95,0.95,0.96,0.96,0.95,0.94,0.95,0.95,0.94,0.93,0.91,0.94
"....Tarlac","Purchasing Power of Peso",0.94,0.95,0.95,0.95,0.96,0.95,0.95,0.95,0.94,0.93,0.91,0.90,0.94
"....Zambales","Purchasing Power of Peso",0.94,0.94,0.94,0.95,0.95,0.94,0.94,0.94,0.94,0.94,0.93,0.91,0.94
"....Aurora","Purchasing Power of Peso",0.94,0.93,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.91,0.94
"....City of Angeles","Purchasing Power of Peso",0.95,0.95,0.95,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.93,0.92,0.95
"....City of Olongapo","Purchasing Power of Peso",0.94,0.93,0.93,0.94,0.94,0.94,0.93,0.93,0.94,0.93,0.92,0.91,0.93
"..Region IV-A (CALABARZON)","Purchasing Power of Peso",0.96,0.96,0.97,0.97,0.97,0.96,0.95,0.95,0.95,0.95,0.93,0.92,0.95
"....Batangas","Purchasing Power of Peso",0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.94,0.93,0.95
"....Cavite","Purchasing Power of Peso",0.94,0.95,0.95,0.96,0.96,0.96,0.93,0.94,0.93,0.93,0.92,0.91,0.94
"....Laguna","Purchasing Power of Peso",0.97,0.98,0.98,0.98,0.98,0.97,0.95,0.95,0.96,0.95,0.94,0.93,0.96
"....Quezon","Purchasing Power of Peso",0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.95,0.93,0.97
"....Rizal","Purchasing Power of Peso",0.95,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.92,0.95
"....City of Lucena (Capital)","Purchasing Power of Peso",0.96,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.97,0.96,0.95,0.93,0.97
"..MIMAROPA Region","Purchasing Power of Peso",0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.90,0.93
"....Marinduque","Purchasing Power of Peso",0.91,0.92,0.93,0.93,0.94,0.92,0.91,0.90,0.90,0.89,0.88,0.87,0.91
"....Occidental Mindoro","Purchasing Power of Peso",0.94,0.94,0.95,0.95,0.95,0.94,0.94,0.92,0.92,0.91,0.90,0.89,0.93
"....Oriental Mindoro","Purchasing Power of Peso",0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.90,0.89,0.89,0.88,0.87,0.90
"....Palawan","Purchasing Power of Peso",0.96,0.96,0.97,0.97,0.95,0.94,0.94,0.94,0.93,0.93,0.93,0.92,0.95
"....Romblon","Purchasing Power of Peso",0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.91,0.94
