"Geolocation","Description","2019 Jan","2019 Feb","2019 Mar","2019 Apr","2019 May","2019 Jun","2019 Jul","2019 Aug","2019 Sep","2019 Oct","2019 Nov","2019 Dec","2019 Ave"
"....Occidental Mindoro","Purchasing Power of Peso",0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.96,0.96
"....Oriental Mindoro","Purchasing Power of Peso",0.98,0.98,0.98,0.99,0.98,0.98,0.95,0.93,0.92,0.92,0.92,0.92,0.95
"....Palawan","Purchasing Power of Peso",0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.97
"....Romblon","Purchasing Power of Peso",0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.97
"....City of Puerto Princesa (Capital)","Purchasing Power of Peso",0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.96,0.97
"..Region V (Bicol Region)","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97
"....Albay","Purchasing Power of Peso",0.99,0.99,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.96,0.95,0.94,0.97
"....Camarines Norte","Purchasing Power of Peso",0.99,0.98,0.98,0.99,0.98,0.98,0.98,0.97,0.97,0.96,0.97,0.96,0.98
"....Camarines Sur","Purchasing Power of Peso",0.98,0.97,0.98,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.96,0.97
"....Catanduanes","Purchasing Power of Peso",0.99,0.99,0.99,1.00,0.99,0.99,0.99,0.98,0.98,0.97,0.97,0.95,0.98
"....Masbate","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,1.00,0.99,0.98,0.97,0.99
"....Sorsogon","Purchasing Power of Peso",0.98,0.98,0.97,0.97,0.96,0.97,0.97,0.97,0.98,0.97,0.97,0.96,0.97
"..Region VI (Western Visayas)","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.98
"....Aklan","Purchasing Power of Peso",1.00,1.00,1.00,1.00,1.00,0.99,0.97,0.97,0.97,0.97,0.97,0.96,0.98
"....Antique","Purchasing Power of Peso",1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.99
"....Capiz","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.97
"....Iloilo","Purchasing Power of Peso",1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99
"....Negros Occidental","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.97
"....Guimaras","Purchasing Power of Peso",0.98,0.98,0.98,0.97,0.97,0.96,0.97,0.96,0.95,0.95,0.96,0.95,0.96
"....City of Iloilo (Capital)","Purchasing Power of Peso",0.99,0.99,1.00,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.97,0.99
"....City of Bacolod (Capital)","Purchasing Power of Peso",0.99,0.99,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.97
"..Region VII (Central Visayas)","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99
"....Bohol","Purchasing Power of Peso",0.99,0.99,1.00,1.00,1.00,1.00,0.99,1.00,1.00,0.99,0.99,0.99,0.99
"....Cebu","Purchasing Power of Peso",0.99,1.00,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99
"....Negros Oriental","Purchasing Power of Peso",0.99,1.00,0.99,1.00,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.98
"....Siquijor","Purchasing Power of Peso",0.99,1.00,0.99,0.99,0.98,0.98,0.99,0.98,0.98,0.98,0.97,0.97,0.98
"....City of Cebu (Capital)","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.99
"....City of Lapu-Lapu","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.98,0.99
"....City of Mandaue","Purchasing Power of Peso",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.99
"..Region VIII (Eastern Visayas)","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.98,0.98
"....Eastern Samar","Purchasing Power of Peso",0.97,0.97,0.99,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.98,0.97,0.99
"....Leyte","Purchasing Power of Peso",0.98,0.97,0.97,0.96,0.96,0.96,0.96,0.97,0.97,0.98,0.97,0.97,0.97
"....Northern Samar","Purchasing Power of Peso",0.99,0.99,0.99,0.99,1.00,1.00,1.01,1.01,1.00,1.00,0.99,0.99,1.00
"....Samar","Purchasing Power of Peso",1.00,1.00,0.99,0.99,1.01,1.00,1.01,1.00,1.01,0.99,0.99,0.98,1.00
"....Southern Leyte","Purchasing Power of Peso",0.99,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"....Biliran","Purchasing Power of Peso",0.99,1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.99
