"Geolocation","Description","2021 Jan","2021 Feb","2021 Mar","2021 Apr","2021 May","2021 Jun","2021 Jul","2021 Aug","2021 Sep","2021 Oct","2021 Nov","2021 Dec","2021 Ave"
"....Occidental Mindoro","Purchasing Power of Peso",0.87,0.87,0.88,0.88,0.87,0.87,0.87,0.87,0.86,0.86,0.86,0.86,0.87
"....Oriental Mindoro","Purchasing Power of Peso",0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.86,0.86,0.85,0.86
"....Palawan","Purchasing Power of Peso",0.92,0.92,0.92,0.92,0.93,0.93,0.94,0.93,0.93,0.93,0.91,0.90,0.92
"....Romblon","Purchasing Power of Peso",0.91,0.91,0.87,0.87,0.88,0.88,0.86,0.86,0.86,0.86,0.86,0.86,0.87
"....City of Puerto Princesa (Capital)","Purchasing Power of Peso",0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.91,0.92
"..Region V (Bicol Region)","Purchasing Power of Peso",0.88,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.88
"....Albay","Purchasing Power of Peso",0.86,0.87,0.87,0.87,0.88,0.87,0.87,0.86,0.86,0.86,0.85,0.85,0.86
"....Camarines Norte","Purchasing Power of Peso",0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.88,0.89
"....Camarines Sur","Purchasing Power of Peso",0.88,0.88,0.89,0.89,0.88,0.89,0.88,0.88,0.88,0.88,0.87,0.87,0.88
"....Catanduanes","Purchasing Power of Peso",0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.87,0.87,0.87,0.87,0.87
"....Masbate","Purchasing Power of Peso",0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.89,0.88,0.90
"....Sorsogon","Purchasing Power of Peso",0.89,0.90,0.90,0.90,0.90,0.90,0.88,0.88,0.88,0.90,0.89,0.86,0.89
"..Region VI (Western Visayas)","Purchasing Power of Peso",0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.91,0.90,0.92
"....Aklan","Purchasing Power of Peso",0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.91,0.92
"....Antique","Purchasing Power of Peso",0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.92,0.92,0.92,0.91,0.91,0.93
"....Capiz","Purchasing Power of Peso",0.91,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.89,0.89,0.89,0.89,0.90
"....Iloilo","Purchasing Power of Peso",0.95,0.95,0.95,0.95,0.96,0.95,0.95,0.96,0.97,0.97,0.95,0.95,0.96
"....Negros Occidental","Purchasing Power of Peso",0.92,0.90,0.90,0.90,0.90,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.89
"....Guimaras","Purchasing Power of Peso",0.91,0.90,0.90,0.90,0.90,0.90,0.89,0.89,0.89,0.90,0.89,0.87,0.90
"....City of Iloilo (Capital)","Purchasing Power of Peso",0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.92,0.93,0.93,0.92,0.94
"....City of Bacolod (Capital)","Purchasing Power of Peso",0.93,0.91,0.90,0.91,0.91,0.90,0.90,0.90,0.90,0.88,0.88,0.89,0.90
"..Region VII (Central Visayas)","Purchasing Power of Peso",0.96,0.97,0.96,0.96,0.96,0.95,0.95,0.96,0.95,0.95,0.95,0.95,0.96
"....Bohol","Purchasing Power of Peso",0.95,0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.94,0.95,0.95
"....Cebu","Purchasing Power of Peso",0.96,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.94,0.96
"....Negros Oriental","Purchasing Power of Peso",0.96,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.93,0.92,0.92,0.92,0.94
"....Siquijor","Purchasing Power of Peso",0.95,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.93,0.92,0.92,0.91,0.93
"....City of Cebu (Capital)","Purchasing Power of Peso",0.97,0.97,0.96,0.96,0.96,0.96,0.95,0.96,0.96,0.97,0.97,0.96,0.96
"....City of Lapu-Lapu","Purchasing Power of Peso",0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.97,0.97,0.96
"....City of Mandaue","Purchasing Power of Peso",0.97,0.97,0.96,0.96,0.96,0.96,0.95,0.96,0.96,0.95,0.95,0.95,0.96
"..Region VIII (Eastern Visayas)","Purchasing Power of Peso",0.94,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.91,0.91,0.91,0.92
"....Eastern Samar","Purchasing Power of Peso",0.95,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.93
"....Leyte","Purchasing Power of Peso",0.94,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.91,0.90,0.92
"....Northern Samar","Purchasing Power of Peso",0.94,0.94,0.94,0.94,0.93,0.93,0.94,0.93,0.93,0.92,0.92,0.91,0.93
"....Samar","Purchasing Power of Peso",0.91,0.91,0.90,0.91,0.89,0.90,0.90,0.89,0.89,0.89,0.89,0.89,0.90
"....Southern Leyte","Purchasing Power of Peso",0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.95
"....Biliran","Purchasing Power of Peso",0.93,0.92,0.92,0.92,0.93,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.93
"....City of Tacloban (Capital)","Purchasing Power of Peso",0.93,0.92,0.92,0.92,0.93,0.92,0.92,0.91,0.91,0.91,0.91,0.91,0.92
"..Region IX (Zamboanga Peninsula)","Purchasing Power of Peso",0.96,0.95,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.94,0.94,0.93,0.94
"....Zamboanga del Norte","Purchasing Power of Peso",0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.93,0.94,0.93,0.92,0.91,0.93
"....Zamboanga del Sur","Purchasing Power of Peso",0.97,0.95,0.94,0.94,0.95,0.95,0.96,0.96,0.96,0.95,0.93,0.93,0.95
"....Zamboanga Sibugay","Purchasing Power of Peso",0.96,0.94,0.94,0.94,0.94,0.95,0.95,0.96,0.96,0.95,0.94,0.93,0.95
