"Geolocation","Description","2018 Jan","2018 Feb","2018 Mar","2018 Apr","2018 May","2018 Jun","2018 Jul","2018 Aug","2018 Sep","2018 Oct","2018 Nov","2018 Dec","2018 Ave"
"PHILIPPINES","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.01,1.00,0.99,0.98,0.98,0.98,0.99,1.00
"..National Capital Region (NCR)","Purchasing Power of Peso",1.03,1.02,1.01,1.01,1.01,1.00,1.00,0.99,0.98,0.98,0.98,0.99,1.00
"..Areas Outside National Capital Region (NCR)","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.01,1.00,0.99,0.98,0.98,0.98,0.99,1.00
"..Cordillera Administrative Region (CAR)","Purchasing Power of Peso",1.03,1.02,1.02,1.01,1.01,1.00,1.00,0.99,0.98,0.98,0.98,0.99,1.00
"....Abra","Purchasing Power of Peso",1.02,1.03,1.03,1.02,1.02,1.01,1.00,0.99,0.97,0.97,0.97,0.97,1.00
"....Benguet","Purchasing Power of Peso",1.02,1.01,1.01,1.01,1.00,1.00,1.00,0.99,0.98,0.98,0.99,1.00,1.00
"....Ifugao","Purchasing Power of Peso",1.03,1.03,1.02,1.02,1.01,1.01,1.00,1.00,0.99,0.97,0.97,0.97,1.00
"....Kalinga","Purchasing Power of Peso",1.04,1.03,1.03,1.01,1.01,1.01,1.00,0.99,0.98,0.97,0.97,0.98,1.00
"....Mountain Province","Purchasing Power of Peso",1.02,1.02,1.02,1.01,1.01,1.01,1.00,1.00,0.98,0.97,0.98,0.98,1.00
"....Apayao","Purchasing Power of Peso",1.04,1.03,1.03,1.03,1.02,1.01,1.00,0.99,0.98,0.96,0.96,0.96,1.00
"....City of Baguio","Purchasing Power of Peso",1.03,1.02,1.01,1.01,1.01,1.00,1.00,0.99,0.98,0.98,0.98,0.99,1.00
"..Region I (Ilocos Region)","Purchasing Power of Peso",1.03,1.03,1.02,1.02,1.01,1.00,1.00,0.99,0.97,0.97,0.98,0.98,1.00
"....Ilocos Norte","Purchasing Power of Peso",1.05,1.04,1.04,1.03,1.03,1.00,0.99,0.98,0.96,0.96,0.96,0.97,1.00
"....Ilocos Sur","Purchasing Power of Peso",1.01,1.01,1.01,1.00,1.00,0.99,1.01,1.01,0.99,0.98,0.98,0.99,1.00
"....La Union","Purchasing Power of Peso",1.02,1.02,1.02,1.02,1.02,1.01,1.00,0.99,0.97,0.97,0.97,0.99,1.00
"....Pangasinan","Purchasing Power of Peso",1.03,1.03,1.02,1.02,1.01,1.00,1.00,0.99,0.97,0.97,0.98,0.99,1.00
"..Region II (Cagayan Valley)","Purchasing Power of Peso",1.04,1.03,1.02,1.02,1.02,1.01,1.00,0.98,0.97,0.97,0.97,0.98,1.00
"....Batanes","Purchasing Power of Peso",1.05,1.04,1.04,1.01,0.99,0.99,0.99,0.99,0.99,0.98,0.97,0.97,1.00
