"Geolocation","Commodity Description","1985 Jan","1985 Feb","1985 Mar","1985 Apr","1985 May","1985 Jun","1985 Jul","1985 Aug","1985 Sep","1985 Oct","1985 Nov","1985 Dec","1985 Ave"
"PHILIPPINES","0 - ALL ITEMS",44.2,39.5,39.0,35.7,34.0,26.5,17.8,15.3,12.4,11.2,7.4,6.3,22.5
"..National Capital Region (NCR)","0 - ALL ITEMS",38.2,34.3,34.1,32.4,30.2,22.0,16.1,12.7,11.4,12.0,8.6,7.3,20.4
"..Areas Outside National Capital Region (NCR)","0 - ALL ITEMS",46.1,41.9,39.6,36.7,35.7,28.1,19.6,16.0,13.2,11.1,7.4,5.5,23.4
"..Cordillera Administrative Region (CAR)","0 - ALL ITEMS",38.5,34.8,33.3,29.2,24.7,21.0,16.7,13.7,9.7,11.2,4.6,4.6,18.9
"....Abra","0 - ALL ITEMS",28.2,27.8,23.7,22.9,19.3,15.3,18.2,15.2,16.2,15.8,12.6,10.9,18.3
"....Benguet","0 - ALL ITEMS",38.8,33.3,33.1,27.5,21.4,19.3,15.3,11.6,5.9,8.2,1.3,3.0,16.8
"....Ifugao","0 - ALL ITEMS",45.6,37.6,36.7,30.8,28.9,23.4,14.2,13.0,7.9,7.4,2.7,-1.3,18.7
"....Kalinga","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","0 - ALL ITEMS",37.5,31.7,29.3,28.6,28.4,20.3,20.3,12.9,10.6,10.6,7.8,6.8,19.4
"....Apayao","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","0 - ALL ITEMS",42.3,42.1,42.2,40.9,39.8,33.0,23.6,20.1,14.8,13.8,12.1,11.1,26.4
"....Ilocos Norte","0 - ALL ITEMS",46.3,43.7,43.1,41.3,38.1,34.3,31.1,24.5,19.5,15.8,13.0,12.4,28.7
"....Ilocos Sur","0 - ALL ITEMS",49.7,48.7,35.5,28.8,25.8,21.6,13.5,12.6,6.5,5.4,2.6,0.0,18.8
"....La Union","0 - ALL ITEMS",56.1,50.7,47.3,47.7,45.4,41.1,24.0,13.8,12.1,11.9,8.7,8.1,27.8
"....Pangasinan","0 - ALL ITEMS",33.1,37.3,41.8,41.9,41.6,34.1,25.4,22.4,16.4,16.9,15.6,15.6,27.4
"..Region II (Cagayan Valley)","0 - ALL ITEMS",39.4,37.4,34.9,32.5,30.8,22.7,15.2,19.4,18.6,18.0,13.6,12.0,23.6
"....Batanes","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","0 - ALL ITEMS",48.7,46.8,45.3,45.1,44.2,32.0,26.2,24.0,20.9,19.7,16.7,13.4,30.4
"....Isabela","0 - ALL ITEMS",28.6,28.4,26.8,23.8,23.8,16.0,8.2,20.0,20.5,21.0,14.8,14.2,20.1
"....Nueva Vizcaya","0 - ALL ITEMS",50.0,45.9,37.8,30.3,29.5,24.0,15.6,11.5,9.1,11.3,4.1,4.0,20.8
"....Quirino","0 - ALL ITEMS",38.0,37.2,33.7,33.1,29.0,21.9,18.1,19.1,21.3,19.1,19.8,15.3,24.7
"..Region III (Central Luzon)","0 - ALL ITEMS",48.4,43.0,40.6,38.4,36.0,29.2,25.6,23.6,17.9,16.4,13.5,11.9,27.3
"....Bataan","0 - ALL ITEMS",44.4,38.5,31.8,31.2,30.5,25.1,18.6,17.8,8.6,5.8,4.3,5.3,20.2
"....Bulacan","0 - ALL ITEMS",37.3,32.6,33.3,30.9,27.8,23.2,24.0,20.5,13.8,14.7,14.3,13.2,23.2
"....Nueva Ecija","0 - ALL ITEMS",54.7,45.5,46.0,44.0,45.6,32.6,45.7,46.1,42.3,40.8,28.5,25.7,40.6
"....Pampanga","0 - ALL ITEMS",52.7,46.6,45.6,42.2,41.0,32.8,21.8,21.1,18.4,15.9,13.9,11.2,28.5
"....Tarlac","0 - ALL ITEMS",69.0,64.9,52.8,44.9,41.7,30.5,21.5,16.8,11.3,6.9,1.9,0.9,26.3
"....Zambales","0 - ALL ITEMS",-25.9,-27.7,-32.5,-31.8,-32.2,-32.5,-39.6,-40.1,-44.6,-45.4,-44.1,-37.5,-37.1
"....Aurora","0 - ALL ITEMS",38.7,39.2,41.1,37.6,37.6,29.3,17.1,16.9,14.8,13.7,7.2,7.6,23.5
"....City of Angeles","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","0 - ALL ITEMS",42.3,37.7,36.5,33.5,32.7,25.6,16.2,13.2,10.3,9.7,5.4,3.8,20.7
"....Batangas","0 - ALL ITEMS",43.0,38.9,35.8,32.7,29.8,25.9,15.2,12.8,10.0,8.4,5.8,3.8,20.3
"....Cavite","0 - ALL ITEMS",40.7,34.5,34.7,33.7,33.7,23.0,21.8,12.4,8.1,10.8,5.0,1.3,20.2
"....Laguna","0 - ALL ITEMS",48.9,44.2,41.7,34.3,33.3,28.7,12.1,12.1,6.5,7.7,1.0,1.0,20.3
"....Quezon","0 - ALL ITEMS",40.2,39.3,41.4,38.0,38.0,30.2,15.9,15.7,13.6,13.1,6.2,7.5,23.3
"....Rizal","0 - ALL ITEMS",37.7,33.1,32.2,29.4,30.3,25.0,14.3,14.6,13.1,9.1,8.2,7.5,20.1
"....City of Lucena (Capital)","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"..MIMAROPA Region","0 - ALL ITEMS",49.7,45.8,42.6,40.0,40.3,32.3,16.8,14.2,12.2,10.8,6.0,3.1,23.9
"....Marinduque","0 - ALL ITEMS",48.7,39.8,39.3,36.7,34.3,24.9,21.9,16.5,10.0,9.2,6.3,1.7,22.2
"....Occidental Mindoro","0 - ALL ITEMS",43.8,43.0,38.0,39.0,38.8,30.5,13.9,11.0,9.2,7.8,4.0,3.6,21.4
"....Oriental Mindoro","0 - ALL ITEMS",45.0,39.2,37.5,31.1,34.3,31.0,17.2,15.4,12.6,11.1,3.4,-0.4,21.3
"....Palawan","0 - ALL ITEMS",58.2,59.5,53.1,50.8,50.5,38.6,16.8,14.8,13.0,12.1,8.7,5.7,28.4
"....Romblon","0 - ALL ITEMS",33.3,33.0,34.9,35.0,36.2,21.0,16.7,16.6,15.9,14.2,13.0,10.2,22.4
"....City of Puerto Princesa (Capital)","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","0 - ALL ITEMS",43.6,43.0,40.3,37.2,35.8,25.6,17.6,16.1,14.4,13.2,7.8,7.7,23.6
"....Albay","0 - ALL ITEMS",36.2,34.7,32.9,31.1,30.0,18.1,20.0,16.4,13.3,12.0,10.2,9.5,21.0
"....Camarines Norte","0 - ALL ITEMS",46.6,46.6,48.6,47.9,43.3,26.8,17.9,14.8,12.0,7.5,3.4,1.9,23.9
"....Camarines Sur","0 - ALL ITEMS",36.9,36.8,36.0,33.9,30.0,24.9,15.5,14.8,13.6,14.1,8.7,8.6,21.7
"....Catanduanes","0 - ALL ITEMS",46.8,46.5,42.6,36.4,34.6,23.1,13.5,10.6,7.3,5.3,0.6,0.0,20.0
"....Masbate","0 - ALL ITEMS",57.5,57.5,49.4,46.1,49.7,37.6,20.7,19.0,19.3,16.7,10.0,10.7,30.0
"....Sorsogon","0 - ALL ITEMS",44.1,38.9,38.4,31.8,30.6,22.3,14.0,13.2,10.8,9.1,4.6,3.5,20.3
"..Region VI (Western Visayas)","0 - ALL ITEMS",51.3,49.4,46.7,42.6,38.0,30.9,21.0,15.8,13.1,10.1,6.2,4.4,25.2
"....Aklan","0 - ALL ITEMS",55.0,58.2,51.5,45.3,42.9,38.6,24.8,20.2,18.7,14.8,9.7,6.3,29.9
"....Antique","0 - ALL ITEMS",59.4,46.0,42.7,43.4,42.5,38.4,15.6,10.1,6.8,5.7,4.1,-1.4,23.0
"....Capiz","0 - ALL ITEMS",47.2,51.7,47.6,42.8,39.9,32.9,23.0,17.0,12.8,10.5,8.2,5.0,26.2
"....Iloilo","0 - ALL ITEMS",49.7,47.4,45.5,41.3,38.5,30.2,20.4,14.3,9.6,6.4,2.5,1.6,23.2
"....Negros Occidental","0 - ALL ITEMS",50.0,49.7,46.0,43.1,37.5,28.5,22.3,17.1,17.1,15.4,8.9,7.9,26.8
"....Guimaras","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Bacolod (Capital)","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","0 - ALL ITEMS",55.6,42.9,42.5,37.2,35.3,26.9,15.9,9.4,9.8,3.6,1.5,0.0,21.0
"....Bohol","0 - ALL ITEMS",55.5,48.5,47.8,44.8,45.2,31.5,21.4,15.2,9.9,4.5,0.5,-2.1,24.0
"....Cebu","0 - ALL ITEMS",54.5,39.6,38.3,34.0,34.4,28.3,16.4,10.1,10.4,5.3,2.6,2.1,21.0
