"Period","2006"
"January",5.5
"February",5.8
"March",6.1
"April",6.0
"May",5.8
"June",5.8
"July",5.5
"August",5.0
"September",5.0
"October",4.9
"November",4.4
"December",4.3
"Average",5.3
