"Geolocation","Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"PHILIPPINES","Purchasing Power of Peso",0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.82,0.81,0.81,0.81,0.81,0.82
"..National Capital Region (NCR)","Purchasing Power of Peso",0.85,0.85,0.85,0.85,0.85,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.84
"..Areas Outside National Capital Region (NCR)","Purchasing Power of Peso",0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.80,0.80,0.80,0.80,0.81
"..Cordillera Administrative Region (CAR)","Purchasing Power of Peso",0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.83,0.81,0.81,0.81,0.81,0.83
"....Abra","Purchasing Power of Peso",0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.83,0.81,0.82,0.82,0.82,0.83
"....Benguet","Purchasing Power of Peso",0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.82,0.81,0.80,0.80,0.80,0.82
"....Ifugao","Purchasing Power of Peso",0.83,0.83,0.84,0.84,0.83,0.83,0.82,0.81,0.78,0.78,0.78,0.79,0.81
"....Kalinga","Purchasing Power of Peso",0.80,0.80,0.82,0.82,0.83,0.83,0.82,0.81,0.80,0.80,0.80,0.81,0.81
"....Mountain Province","Purchasing Power of Peso",0.79,0.79,0.79,0.80,0.81,0.81,0.81,0.80,0.79,0.79,0.79,0.79,0.80
"....Apayao","Purchasing Power of Peso",0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.81,0.80,0.79,0.78,0.82
"....City of Baguio","Purchasing Power of Peso",0.85,0.85,0.86,0.87,0.86,0.86,0.86,0.85,0.83,0.83,0.83,0.84,0.85
"..Region I (Ilocos Region)","Purchasing Power of Peso",0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.81,0.82,0.82,0.82,0.82
"....Ilocos Norte","Purchasing Power of Peso",0.83,0.84,0.83,0.83,0.84,0.84,0.83,0.81,0.81,0.82,0.82,0.82,0.83
"....Ilocos Sur","Purchasing Power of Peso",0.79,0.79,0.80,0.80,0.81,0.81,0.82,0.80,0.80,0.82,0.81,0.81,0.80
"....La Union","Purchasing Power of Peso",0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.86,0.86,0.85,0.87
"....Pangasinan","Purchasing Power of Peso",0.82,0.82,0.82,0.82,0.82,0.83,0.83,0.81,0.80,0.80,0.81,0.81,0.82
"..Region II (Cagayan Valley)","Purchasing Power of Peso",0.81,0.82,0.82,0.83,0.83,0.82,0.82,0.81,0.80,0.81,0.81,0.81,0.82
"....Batanes","Purchasing Power of Peso",0.79,0.79,0.80,0.80,0.80,0.79,0.78,0.77,0.78,0.78,0.77,0.76,0.78
"....Cagayan","Purchasing Power of Peso",0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.80,0.79,0.80,0.80,0.79,0.81
"....Isabela","Purchasing Power of Peso",0.82,0.83,0.84,0.84,0.84,0.83,0.83,0.83,0.82,0.83,0.83,0.83,0.83
"....Nueva Vizcaya","Purchasing Power of Peso",0.79,0.79,0.80,0.80,0.80,0.81,0.81,0.79,0.78,0.79,0.79,0.79,0.80
"....Quirino","Purchasing Power of Peso",0.80,0.80,0.83,0.83,0.82,0.82,0.81,0.80,0.78,0.79,0.79,0.78,0.80
"..Region III (Central Luzon)","Purchasing Power of Peso",0.80,0.81,0.81,0.81,0.81,0.81,0.80,0.79,0.78,0.78,0.78,0.78,0.80
"....Bataan","Purchasing Power of Peso",0.77,0.77,0.77,0.77,0.78,0.77,0.77,0.76,0.75,0.76,0.76,0.76,0.77
"....Bulacan","Purchasing Power of Peso",0.84,0.84,0.84,0.83,0.83,0.83,0.82,0.81,0.79,0.79,0.79,0.79,0.82
"....Nueva Ecija","Purchasing Power of Peso",0.79,0.80,0.81,0.81,0.81,0.80,0.79,0.77,0.76,0.77,0.77,0.76,0.79
"....Pampanga","Purchasing Power of Peso",0.79,0.79,0.79,0.79,0.79,0.80,0.79,0.78,0.78,0.78,0.78,0.78,0.79
"....Tarlac","Purchasing Power of Peso",0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.80,0.78,0.79,0.79,0.79,0.80
"....Zambales","Purchasing Power of Peso",0.78,0.78,0.77,0.78,0.78,0.79,0.78,0.77,0.77,0.77,0.77,0.76,0.77
"....Aurora","Purchasing Power of Peso",0.78,0.78,0.79,0.79,0.79,0.79,0.79,0.78,0.77,0.78,0.78,0.78,0.78
"....City of Angeles","Purchasing Power of Peso",0.81,0.82,0.82,0.82,0.82,0.83,0.82,0.82,0.81,0.81,0.81,0.81,0.82
"....City of Olongapo","Purchasing Power of Peso",0.81,0.81,0.81,0.82,0.82,0.81,0.81,0.80,0.80,0.80,0.80,0.80,0.81
"..Region IV-A (CALABARZON)","Purchasing Power of Peso",0.82,0.82,0.83,0.83,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.82
"....Batangas","Purchasing Power of Peso",0.81,0.81,0.81,0.81,0.80,0.81,0.80,0.79,0.79,0.79,0.79,0.79,0.80
"....Cavite","Purchasing Power of Peso",0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.80,0.80,0.80,0.80,0.81
"....Laguna","Purchasing Power of Peso",0.85,0.85,0.85,0.86,0.86,0.85,0.86,0.85,0.84,0.84,0.84,0.84,0.85
"....Quezon","Purchasing Power of Peso",0.83,0.84,0.84,0.85,0.85,0.85,0.86,0.85,0.84,0.84,0.84,0.84,0.84
"....Rizal","Purchasing Power of Peso",0.79,0.80,0.80,0.80,0.80,0.79,0.79,0.78,0.78,0.78,0.78,0.78,0.79
"....City of Lucena (Capital)","Purchasing Power of Peso",0.84,0.83,0.84,0.85,0.85,0.85,0.85,0.85,0.84,0.84,0.83,0.83,0.84
"..MIMAROPA Region","Purchasing Power of Peso",0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.77,0.77,0.77,0.77,0.78
"....Marinduque","Purchasing Power of Peso",0.78,0.78,0.78,0.78,0.78,0.77,0.78,0.77,0.76,0.76,0.76,0.77,0.77
"....Occidental Mindoro","Purchasing Power of Peso",0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.77
"....Oriental Mindoro","Purchasing Power of Peso",0.76,0.76,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.76
